1.004,1.0407,1.2093,1.4286,3.0933,4.5443,9.8157,9.9987,11,11,11,11,11
1.0046,1.0459,1.2164,1.3187,3.3202,7.6032,15.548,15.666,15.667,1.0486e+06,-7.2058e+16,0,15.667
1.0046,1.0444,1.2723,1.4871,4.9897,11.788,20.916,20.999,21,21,21,21,21
1.004,1.0387,1.1539,1.8647,4.9809,10.45,20.877,20.999,0,0,0,0,22
1.0036,1.0366,1.1823,1.3358,3.9166,6.5043,9.932,256,1.9807e+28,0,0,0,13
1.0039,1.0391,1.1932,1.5282,3.2734,6.1139,11.541,11.997,4.6803e+05,-2.2301e+43,2.1062e+65,-9.9465e+86,14
1.0043,1.0417,1.4019,0.91752,1.6778,12.781,12.986,13,-8.5551e+05,5.1847e+21,-2.3384e+49,2.6881e+43,13
1.0042,1.042,1.2209,1.4933,6.7813,11.184,20.864,20.999,0,0,0,0,22
1.0036,1.0364,1.1877,1.3858,-2.695,5.2303,12.828,13.089,2.0972e+06,-7.4276e+27,-4.6768e+49,5.5214e+70,15
1.0047,1.0472,0.85157,1.5317,5.4861,9.7953,18.748,18.998,19,19,19,19,19
1.0032,1.0326,1.1714,1.3411,3.8156,8.0071,17.84,17.999,18,18,18,18,18
1.0035,1.035,1.1572,1.4587,5.019,7.7451,11.414,11.4,1.1603e+06,4.959e+26,-1.6671e+49,1.3547e+71,11.4
1.0054,1.054,1.3452,1.6035,8.9807,16.168,20.986,21,0,0,0,0,22
1.0039,1.0392,1.2118,1.4445,4.0679,8.0744,15.849,35.906,-4.2125e+65,8.2835e+97,nan,nan,18
1.0039,1.0396,1.2033,1.4133,2.6598,4.7209,6.4818,6.4297,-2.0972e+06,-1.8093e+75,0,0,10
1.0046,1.0446,1.1797,1.0555,5.5025,6.6772,9.2002,9.2,1.4516e+05,-2.5924e+21,-1.8666e+32,-1.3441e+43,9
1.0021,1.0201,1.0626,-0.080542,2.2796,5.2028,6.9589,6.9997,7,7,7,7,7
1.0039,1.0384,1.2445,1.3947,7.0318,10.166,15.932,16,8,3,-2.3384e+49,-1.1043e+71,17
1.004,1.0397,1.235,1.4259,4.6862,7.5504,13.893,-18.467,2.4493e+11,1.3441e+43,7.8984e+64,-5.5214e+70,15
1.0048,1.0455,1.1977,1.4128,4.3536,7.5843,11.04,11,-4.5418e+05,2.5924e+21,1.8666e+32,1.3441e+43,12
1.006,1.0612,1.3327,1.7257,7.1386,11.124,18.761,18.998,0,0,0,0,20
1.0045,1.0455,1.2289,1.4102,3.57,4.8048,6.885,6.9992,7,7,7,7,7
1.0044,1.0443,1.2243,1.4528,3.7019,4.1006,1.9741,1.9998,7.6868e+05,5.1847e+21,3.7332e+32,2.6881e+43,8
1.0044,1.0445,1.2726,1.5404,6.0958,13.418,17.973,7.188e+09,0,0,0,0,21
1.0027,1.0267,1.1293,1.2444,3.5931,5.5274,10.955,11,84459,-1.5554e+22,-1.12e+33,-8.0644e+43,12
1.0027,1.0244,0.47781,1.5035,5.103,6.6006,9.3981,9.4441,2.6215e+05,3.0949e+26,-1.7538e+49,-6.9017e+69,9.4
1.0049,1.056,1.2982,1.6179,8.3984,15.827,19,15.341,5.1847e+21,-2.6881e+43,-1.3937e+65,-7.226e+86,20
1.0034,1.0339,1.1762,1.3677,4.1985,7.5371,15.852,15.999,-6.4127e+05,-2.5924e+21,-1.8666e+32,-1.3441e+43,18
1.0029,1.0292,1.1428,1.278,2.5808,8.1167,11.261,11.498,-1.3107e+05,1,1.8014e+16,-1.2379e+27,13
0.99185,-9.8558,1.3499,1.5514,5.3969,9.8832,18.903,18.999,0,0,0,0,20
1.0037,1.037,1.1945,1.4172,4.4809,2.5251,4.6907,4.733,4.7333,4.7333,4.7333,4.7333,4.7333
1.0024,1.0226,1.0619,0.5568,7.6664,13.42,4.9223,4.9995,5,4.75,0.75,3.75,3.75
1.004,1.0401,1.212,1.4523,4.0431,6.5545,13.672,13.998,14,1.4855e+28,0,0,14
1.0043,1.0374,1.3581,1.6683,3.1046,7.3663,11.06,11.221,0,0,0,0,14
1.004,1.039,1.2521,1.4603,6.0118,-13.21,13.826,13.999,-3.7138e+27,-5.2656e+64,15,1.1091e+130,15
1.0056,1.051,1.2599,1.5566,4.8914,8.1954,11.165,4.0524e+09,-6.8056e+38,9.4127e+95,7.2515e+162,1.4036e+217,15
1.0031,1.0312,1.1527,2.5584,3.234,7.4871,16.762,16.998,0,0,0,0,18
1.0026,1.0254,1.1179,1.1951,1.8536,6.7036,11.392,11.544,0,0,0,0,12.545
1.0048,1.0487,1.2618,1.5672,5.3098,10.83,18.892,18.999,-1.0486e+06,0,0,0,20
1.0038,1.0277,1.0362,0.70744,5.7059,8.0788,13.917,13.999,0,0,0,0,16
1.0036,1.0361,0.89908,1.4115,2.7644,4.7774,11.748,11.998,0,0,0,0,12
1.0081,1.0642,1.3104,1.6153,6.0205,13.369,10.99,-32,0,0,0,0,11
1.0038,1.0376,1.175,1.1033,3.9696,6.1562,10.397,10.466,7.8643e+05,-3.7138e+27,-3.5076e+49,5.2453e+71,11
1.0038,1.0355,1.1963,1.2035,161.78,9.489,14.935,15,-1.2826e+06,5.1847e+21,3.7332e+32,2.6881e+43,16
1.0047,1.0472,1.2474,1.5095,5.3961,19.242,14.57,14.666,7.777e+21,-8.5264e+39,2.3384e+49,0,18
1.0031,1.0292,1.5694,1.4862,7.4044,8.2485,12.913,12.999,-1.1796e+06,-6.1897e+26,-2.923e+48,-2.7607e+70,17
